Input file; Time; Memory; Instr.; User-Defined
fuzzer-out/afl/queue/id:000000,orig:example.txt; 93468866; 251658240; 66; 0
fuzzer-out/afl/queue/id:000001,src:000000,op:havoc,rep:8,+cov; 74485551; 251658240; 66; 0
fuzzer-out/afl/queue/id:000002,src:000000,op:havoc,rep:16,+cov; 80100077; 251658240; 66; 0
fuzzer-out/afl/queue/id:000003,src:000000,op:havoc,rep:16,+cov; 85317174; 251658240; 75; 0
fuzzer-out/afl/queue/id:000004,src:000000,op:havoc,rep:16,+cov; 83560429; 251658240; 93; 0
fuzzer-out/afl/queue/id:000005,src:000000,op:havoc,rep:16,+cov; 68039632; 251658240; 89; 0
fuzzer-out/afl/queue/id:000006,src:000000,op:havoc,rep:2,+cov; 81778526; 251658240; 66; 0
fuzzer-out/afl/queue/id:000007,src:000000,op:havoc,rep:8,+cov; 83683628; 251658240; 76; 0
fuzzer-out/afl/queue/id:000008,src:000000,op:havoc,rep:16,+cov; 70081858; 251658240; 66; 0
