GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JacocoExample,com.training.example.JacocoExample,PerimeterDriver,30,18,6,1,9,7,6,2,0,2
JacocoExample,com.training.example.JacocoExample,Perimeter,48,10,0,0,10,3,5,2,5,2
